Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Afghanistan,AFG,51.5603678961033,51.6722279216976,52.4590141977086,53.486820605636,54.6682696056433,55.8981079197497,57.1107456287743,58.1045390474797,59.0081285907901,59.244646865329
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Albania,ALB,69.9076087582108,72.5469959865247,73.1303625392493,73.8176295714549,71.2735076319824,70.1120839770832,73.1664590939729,72.9453925014733,72.7921697877114,72.7335765539295
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Algeria,DZA,20.3752048179799,20.5279390667906,21.9304060384296,23.4404005033576,24.0494612406382,22.7576188401658,22.5240571579519,22.2648627207432,22.0187957040971,22.1233440336326
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Angola,AGO,93.5519510234664,93.5897627961256,93.5311296438274,93.5556318455025,93.6520756915223,93.7698030903414,93.9038783017618,93.978035825644,94.1031886090141,94.1626037435068
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Argentina,ARG,65.48061831241,64.358275957783,64.5647122218391,65.0284088218179,64.6474738752283,64.1810173183884,65.2002046542939,66.259378768517,67.3208988592036,67.2420422371051
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Armenia,ARM,71.3469043902605,69.2391527714496,73.4766366484904,73.6992160814633,74.5809071075352,73.3859750682874,72.9244742918563,70.8821411613554,70.9018330926914,70.9562498150446
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Australia,AUS,81.323357279505,81.0285630283046,81.5989783121008,81.9623218139104,82.2088705329871,82.6193509570946,83.0266693677676,83.8586868254047,84.429008876932,84.5656547540688
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Austria,AUT,79.5911102231887,80.0236319086335,80.8102189271141,81.5283274229033,81.928814296672,82.5421355495843,82.6390714550129,82.9724246386746,82.9425718900873,83.1730344106322
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Azerbaijan,AZE,88.1934390908563,89.1888648786069,90.2659824385321,90.338414445351,90.2286573335937,90.5810256838353,91.0238476067248,90.3161546641645,90.3162291260436,90.5196267360037
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Bahamas, The",BHS,83.8248734187652,83.9742452247083,83.7875831836656,83.9885901803457,83.6883628970501,83.2519258640059,82.5200402407942,82.2405430682554,82.3459858502099,82.3889471973457
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bahrain,BHR,49.0507374003702,50.0801040138616,49.6312625275204,49.7449591829276,49.9016996565321,50.0982122771568,50.3488675267213,50.6193590676774,50.9038348984585,50.9725031722468
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bangladesh,BGD,35.1035247291984,35.9399596852484,36.7687661633945,37.6165449497677,38.4867433728567,39.3794877475125,40.2941402067908,41.212955659265,44.0382747041127,44.2699557962926
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Barbados,BRB,86.093855363584,86.9134299982288,86.7267780941213,86.2389576849742,87.7976665295857,89.5827539384762,88.4459743739357,88.753970215752,88.7852201667224,88.8860140044793
